trial_id,molecule,indication,phase,status,sponsor,country
CT-000087,MOLLC1,Inflammatory Bowel Disease,Phase IV,Terminated,GlobalBio,Brazil
CT-000088,MOLLC1,Migraine,Phase II,Completed,GlobalBio,India
CT-000089,MOLHF2,Inflammatory Bowel Disease,Phase I,Recruiting,NovaCure,Canada
CT-000090,MOLRA1,COPD,Phase III,Completed,NovaCure,Japan
CT-000091,MOLM3,Breast Cancer,Phase I,Recruiting,NovaCure,Canada
CT-000092,MOLBC3,Heart Failure,Phase I,Recruiting,NovaCure,Brazil
CT-000093,MOLA,Psoriasis,Phase III,Suspended,OncoGenix,Brazil
CT-000094,MOLDEP1,Respiratory,Phase III,Suspended,Sunrise Therapeutics,Global
CT-000095,MOLRA2,Chronic Kidney Disease,Phase II,Suspended,MedLife Corp,Brazil
CT-000096,MOLM2,Inflammatory Bowel Disease,Phase III,Recruiting,GlobalBio,India
CT-000097,MOLO3,Breast Cancer,Phase II,Suspended,PrimeCare,India
CT-000098,MOLBC2,Respiratory,Phase IV,Active,GlobalBio,Japan
CT-000099,MOLIBD2,Rheumatoid Arthritis,Phase III,Recruiting,XYZ Pharma,Canada
CT-000100,MOLCKD3,Respiratory,Phase IV,Suspended,MedLife Corp,US
CT-000101,MOLRA2,Rheumatoid Arthritis,Phase III,Completed,OncoGenix,EU
CT-000102,MOLO2,Asthma,Phase III,Active,ABC Pharma,China
CT-000103,MOLO2,Asthma,Phase IV,Active,GlobalBio,Brazil
CT-000104,MOLIBD1,Asthma,Phase III,Terminated,GlobalBio,Canada
CT-000105,MOLIBD1,Depression,Phase IV,Terminated,OncoGenix,EU
CT-000106,MOLH2,Osteoporosis,Phase I,Active,ABC Pharma,Australia
CT-000107,MOLO1,Type 2 Diabetes,Phase III,Active,PrimeCare,Australia
CT-000108,MOLDEP1,Type 2 Diabetes,Phase II,Active,PrimeCare,US
CT-000109,MOLX,Chronic Kidney Disease,Phase III,Recruiting,XYZ Pharma,India
CT-000110,MOLCKD3,Rheumatoid Arthritis,Phase III,Completed,ABC Pharma,Global
CT-000111,MOLO1,Osteoporosis,Phase II,Active,Sunrise Therapeutics,Japan
CT-000112,MOLP2,Psoriasis,Phase II,Completed,XYZ Pharma,Japan
CT-000113,MOLIBD1,Psoriasis,Phase I,Completed,ABC Pharma,China
CT-000114,MOL1,Type 2 Diabetes,Phase I,Active,ABC Pharma,Brazil
CT-000115,MOLLC2,Lung Cancer,Phase III,Terminated,Sunrise Therapeutics,China
CT-000116,MOLP1,Asthma,Phase I,Active,OncoGenix,EU
CT-000117,MOLDEP3,Type 2 Diabetes,Phase II,Terminated,MedLife Corp,Global
CT-000118,MOLP2,Depression,Phase IV,Recruiting,Sunrise Therapeutics,Japan
CT-000119,MOLM1,Type 2 Diabetes,Phase II,Suspended,MedLife Corp,US
CT-000120,MOLCKD2,Rheumatoid Arthritis,Phase III,Completed,OncoGenix,Brazil
CT-000121,MOLO1,Migraine,Phase IV,Completed,MedLife Corp,EU
CT-000122,MOLLC3,Lung Cancer,Phase IV,Suspended,MedLife Corp,Japan
CT-000123,MOLIBD1,Psoriasis,Phase I,Suspended,PrimeCare,US
CT-000124,MOLM2,Asthma,Phase II,Active,Sunrise Therapeutics,Canada
CT-000125,MOLHF2,Chronic Kidney Disease,Phase I,Completed,PrimeCare,Brazil
CT-000126,MOLP2,Psoriasis,Phase II,Completed,ABC Pharma,Canada
CT-000127,MOLCKD3,Depression,Phase III,Active,NovaCure,Japan
CT-000128,MOLY,Breast Cancer,Phase I,Suspended,GlobalBio,China
CT-000129,MOLO2,Hypertension,Phase IV,Completed,Sunrise Therapeutics,Canada
CT-000130,MOLR2,COPD,Phase IV,Active,XYZ Pharma,Brazil
CT-000131,MOLX,Asthma,Phase III,Terminated,XYZ Pharma,Global
CT-000132,MOLBC2,Migraine,Phase II,Suspended,GlobalBio,EU
CT-000133,MOLDEP1,Asthma,Phase I,Completed,Sunrise Therapeutics,Canada
CT-000134,MOLCKD2,COPD,Phase III,Suspended,Sunrise Therapeutics,US
CT-000135,MOLP1,Breast Cancer,Phase I,Terminated,MedLife Corp,Australia
CT-000136,MOLIBD3,Hypertension,Phase I,Completed,Sunrise Therapeutics,Canada
CT-000137,MOLD1,Breast Cancer,Phase I,Recruiting,NovaCure,China
CT-000138,MOLO2,Breast Cancer,Phase III,Terminated,Sunrise Therapeutics,US
CT-000139,MOLIBD3,Depression,Phase III,Completed,OncoGenix,Brazil
CT-000140,MOLDEP1,Osteoporosis,Phase IV,Active,GlobalBio,EU
CT-000141,MOLX,Respiratory,Phase II,Recruiting,MedLife Corp,EU
CT-000142,MOL1,Lung Cancer,Phase III,Completed,GlobalBio,Brazil
CT-000143,MOLH3,Migraine,Phase IV,Recruiting,NovaCure,Japan
CT-000144,MOLDEP1,Lung Cancer,Phase III,Recruiting,Sunrise Therapeutics,Australia
CT-000145,MOLX,Migraine,Phase I,Terminated,GlobalBio,Canada
CT-000146,MOLIBD2,Chronic Kidney Disease,Phase I,Recruiting,NovaCure,Brazil
CT-000147,MOLY,Hypertension,Phase I,Active,Sunrise Therapeutics,EU
CT-000148,MOLCKD1,Inflammatory Bowel Disease,Phase I,Suspended,NovaCure,India
CT-000149,MOLP2,Osteoporosis,Phase II,Recruiting,OncoGenix,Japan
CT-000150,MOLH1,Type 2 Diabetes,Phase II,Active,GlobalBio,China
CT-000151,MOLBC1,Osteoporosis,Phase III,Completed,ABC Pharma,EU
CT-000152,MOLM2,Depression,Phase IV,Recruiting,ABC Pharma,Japan
CT-000153,MOLCKD2,Rheumatoid Arthritis,Phase I,Terminated,PrimeCare,Japan
CT-000154,MOLM2,Asthma,Phase III,Active,PrimeCare,China
CT-000155,MOLP3,Asthma,Phase IV,Recruiting,PrimeCare,China
CT-000156,MOLLC2,Chronic Kidney Disease,Phase IV,Recruiting,Sunrise Therapeutics,China
CT-000157,MOLRA3,Asthma,Phase III,Suspended,PrimeCare,EU
CT-000158,MOLIBD3,Chronic Kidney Disease,Phase II,Recruiting,GlobalBio,China
CT-000159,MOLO2,Respiratory,Phase III,Completed,MedLife Corp,EU
CT-000160,MOLC,Asthma,Phase IV,Active,Sunrise Therapeutics,Canada
CT-000161,MOLO2,Hypertension,Phase III,Terminated,PrimeCare,Brazil
CT-000162,MOLC,Type 2 Diabetes,Phase III,Completed,PrimeCare,EU
CT-000163,MOLR2,Rheumatoid Arthritis,Phase IV,Completed,PrimeCare,Australia
CT-000164,MOLR1,Depression,Phase I,Terminated,XYZ Pharma,Japan
CT-000165,MOLP3,Asthma,Phase III,Active,PrimeCare,Australia
CT-000166,MOLDEP3,Inflammatory Bowel Disease,Phase I,Suspended,MedLife Corp,Canada
CT-000167,MOLH1,Hypertension,Phase II,Suspended,PrimeCare,Japan
CT-000168,MOLIBD1,Type 2 Diabetes,Phase I,Completed,ABC Pharma,EU
CT-000169,MOLY,Breast Cancer,Phase IV,Terminated,MedLife Corp,US
CT-000170,MOLR3,Respiratory,Phase III,Active,NovaCure,EU
CT-000171,MOLRA3,Respiratory,Phase III,Suspended,ABC Pharma,Australia
CT-000172,MOLD2,Rheumatoid Arthritis,Phase I,Suspended,Sunrise Therapeutics,EU
CT-000173,MOLR2,Heart Failure,Phase I,Terminated,GlobalBio,Japan
CT-000174,MOLHF3,Inflammatory Bowel Disease,Phase I,Completed,XYZ Pharma,Canada
CT-000175,MOLRA2,Chronic Kidney Disease,Phase I,Active,GlobalBio,Canada
CT-000176,MOLO2,Depression,Phase III,Recruiting,OncoGenix,Canada
CT-000177,MOLY,Depression,Phase II,Recruiting,Sunrise Therapeutics,India
CT-000178,MOLH3,COPD,Phase III,Terminated,XYZ Pharma,Global
CT-000179,MOLM2,Respiratory,Phase I,Active,OncoGenix,Brazil
CT-000180,MOLHF3,Lung Cancer,Phase III,Recruiting,XYZ Pharma,India
CT-000181,MOLBC1,Rheumatoid Arthritis,Phase IV,Active,Sunrise Therapeutics,Canada
CT-000182,MOL1,Type 2 Diabetes,Phase III,Suspended,ABC Pharma,China
CT-000183,MOLO1,Type 2 Diabetes,Phase I,Completed,NovaCure,Brazil
CT-000184,MOLR3,Rheumatoid Arthritis,Phase I,Active,PrimeCare,Canada
CT-000185,MOLD3,Hypertension,Phase I,Active,ABC Pharma,Canada
CT-000186,MOLIBD3,Asthma,Phase I,Active,GlobalBio,Australia
CT-000187,MOLIBD3,Osteoporosis,Phase IV,Suspended,MedLife Corp,China
CT-000188,MOLDEP1,Type 2 Diabetes,Phase II,Completed,ABC Pharma,Global
CT-000189,MOLDEP1,Osteoporosis,Phase II,Active,Sunrise Therapeutics,Australia
CT-000190,MOLP2,Lung Cancer,Phase I,Recruiting,GlobalBio,China
CT-000191,MOLRA2,COPD,Phase III,Suspended,GlobalBio,US
CT-000192,MOLP2,Depression,Phase III,Terminated,XYZ Pharma,India
CT-000193,MOLIBD2,Rheumatoid Arthritis,Phase I,Recruiting,OncoGenix,Global
CT-000194,MOLH1,Rheumatoid Arthritis,Phase III,Active,MedLife Corp,Brazil
CT-000195,MOLP1,Lung Cancer,Phase II,Completed,ABC Pharma,US
CT-000196,MOLLC1,Asthma,Phase IV,Completed,PrimeCare,China
CT-000197,MOLY,Asthma,Phase IV,Suspended,PrimeCare,India
CT-000198,MOLHF3,COPD,Phase IV,Completed,PrimeCare,Australia
CT-000199,MOLLC2,Respiratory,Phase III,Terminated,XYZ Pharma,China
CT-000200,MOLIBD1,Migraine,Phase III,Suspended,XYZ Pharma,EU
CT-000201,MOLM2,Hypertension,Phase IV,Recruiting,XYZ Pharma,China
CT-000202,MOLY,Chronic Kidney Disease,Phase I,Active,ABC Pharma,Japan
CT-000203,MOLCKD3,Respiratory,Phase IV,Active,NovaCure,US
CT-000204,MOLD3,Heart Failure,Phase III,Terminated,Sunrise Therapeutics,Canada
CT-000205,MOLIBD1,Lung Cancer,Phase III,Completed,ABC Pharma,US
CT-000206,MOLC,Heart Failure,Phase I,Suspended,MedLife Corp,US
CT-000207,MOLBC3,Chronic Kidney Disease,Phase III,Active,GlobalBio,China
CT-000208,MOLR2,Chronic Kidney Disease,Phase III,Active,Sunrise Therapeutics,China
CT-000209,MOLD1,Heart Failure,Phase III,Terminated,MedLife Corp,Brazil
CT-000210,MOLBC3,COPD,Phase II,Recruiting,ABC Pharma,Japan
CT-000211,MOLD3,Respiratory,Phase II,Recruiting,XYZ Pharma,US
CT-000212,MOLD1,Depression,Phase IV,Active,NovaCure,Brazil
CT-000213,MOLCKD3,Psoriasis,Phase I,Recruiting,ABC Pharma,Global
CT-000214,MOLP3,Respiratory,Phase IV,Terminated,XYZ Pharma,Australia
CT-000215,MOLP3,Hypertension,Phase III,Terminated,PrimeCare,China
CT-000216,MOLDEP1,Chronic Kidney Disease,Phase III,Suspended,XYZ Pharma,EU
CT-000217,MOLRA1,Chronic Kidney Disease,Phase III,Completed,ABC Pharma,Brazil
CT-000218,MOLDEP3,Lung Cancer,Phase II,Terminated,Sunrise Therapeutics,Japan
CT-000219,MOLRA2,Heart Failure,Phase II,Recruiting,GlobalBio,Japan
CT-000220,MOLM3,Psoriasis,Phase II,Completed,XYZ Pharma,India
CT-000221,MOLCKD3,Chronic Kidney Disease,Phase III,Active,GlobalBio,Brazil
CT-000222,MOLD2,Lung Cancer,Phase IV,Suspended,NovaCure,Global
CT-000223,MOLA,Type 2 Diabetes,Phase III,Recruiting,Sunrise Therapeutics,EU
CT-000224,MOLBC1,Chronic Kidney Disease,Phase II,Terminated,GlobalBio,Australia
CT-000225,MOLO3,Asthma,Phase I,Terminated,PrimeCare,Australia
CT-000226,MOLH3,Migraine,Phase IV,Suspended,ABC Pharma,Brazil
CT-000227,MOLR3,Asthma,Phase IV,Suspended,ABC Pharma,China
CT-000228,MOLCKD1,Depression,Phase II,Terminated,PrimeCare,China
CT-000229,MOLRA3,Osteoporosis,Phase II,Recruiting,MedLife Corp,Global
CT-000230,MOLM2,Inflammatory Bowel Disease,Phase III,Completed,PrimeCare,China
CT-000231,MOLD2,Rheumatoid Arthritis,Phase II,Active,Sunrise Therapeutics,Global
CT-000232,MOLR3,Breast Cancer,Phase IV,Recruiting,PrimeCare,US
CT-000233,MOLC,Type 2 Diabetes,Phase I,Completed,ABC Pharma,Australia
CT-000234,MOLDEP3,Respiratory,Phase I,Suspended,ABC Pharma,India
CT-000235,MOLRA2,Asthma,Phase IV,Completed,NovaCure,India
CT-000236,MOLH1,Inflammatory Bowel Disease,Phase IV,Recruiting,MedLife Corp,China
CT-000237,MOLX,Depression,Phase IV,Active,Sunrise Therapeutics,Australia
CT-000238,MOLM2,Asthma,Phase II,Terminated,OncoGenix,Japan
CT-000239,MOLC,Psoriasis,Phase II,Recruiting,ABC Pharma,Canada
CT-000240,MOL1,Depression,Phase II,Active,Sunrise Therapeutics,India
CT-000241,MOL1,Osteoporosis,Phase IV,Terminated,XYZ Pharma,Brazil
CT-000242,MOLH1,Psoriasis,Phase III,Terminated,Sunrise Therapeutics,Canada
CT-000243,MOLO3,Breast Cancer,Phase II,Recruiting,MedLife Corp,Japan
CT-000244,MOLO2,Hypertension,Phase I,Terminated,MedLife Corp,Australia
CT-000245,MOLR3,COPD,Phase I,Active,PrimeCare,Global
CT-000246,MOLRA3,Osteoporosis,Phase IV,Suspended,NovaCure,China
CT-000247,MOLO3,Respiratory,Phase III,Terminated,Sunrise Therapeutics,Australia
CT-000248,MOLH1,Rheumatoid Arthritis,Phase I,Active,OncoGenix,US
CT-000249,MOLRA1,Rheumatoid Arthritis,Phase III,Recruiting,Sunrise Therapeutics,India
CT-000250,MOLD1,Osteoporosis,Phase IV,Terminated,XYZ Pharma,Global
CT-000251,MOLD1,Type 2 Diabetes,Phase I,Recruiting,MedLife Corp,Global
CT-000252,MOLC,Breast Cancer,Phase II,Active,MedLife Corp,Canada
CT-000253,MOLRA1,Depression,Phase II,Recruiting,GlobalBio,Japan
CT-000254,MOLDEP3,Lung Cancer,Phase III,Terminated,MedLife Corp,Brazil
CT-000255,MOLR1,Migraine,Phase III,Terminated,Sunrise Therapeutics,Brazil
CT-000256,MOLDEP1,Chronic Kidney Disease,Phase IV,Terminated,XYZ Pharma,China
CT-000257,MOLHF3,Respiratory,Phase II,Terminated,NovaCure,India
CT-000258,MOLD1,Asthma,Phase I,Terminated,OncoGenix,Japan
CT-000259,MOLR3,Hypertension,Phase IV,Recruiting,NovaCure,China
CT-000260,MOLLC2,Respiratory,Phase IV,Recruiting,MedLife Corp,Australia
CT-000261,MOLC,Breast Cancer,Phase II,Recruiting,Sunrise Therapeutics,EU
CT-000262,MOLP1,Respiratory,Phase IV,Active,ABC Pharma,India
CT-000263,MOLLC2,Psoriasis,Phase II,Suspended,OncoGenix,EU
CT-000264,MOLP2,Breast Cancer,Phase II,Suspended,MedLife Corp,India
CT-000265,MOLP2,Osteoporosis,Phase II,Active,NovaCure,Canada
CT-000266,MOLD1,Type 2 Diabetes,Phase III,Completed,MedLife Corp,EU
CT-000267,MOLHF3,Hypertension,Phase III,Terminated,GlobalBio,Japan
CT-000268,MOLIBD3,Breast Cancer,Phase IV,Completed,GlobalBio,US
CT-000269,MOLH3,COPD,Phase IV,Suspended,XYZ Pharma,Australia
CT-000270,MOLHF1,Depression,Phase I,Active,ABC Pharma,Japan
CT-000271,MOLH2,Psoriasis,Phase I,Recruiting,PrimeCare,India
CT-000272,MOLC,Osteoporosis,Phase II,Suspended,MedLife Corp,EU
CT-000273,MOLM3,Lung Cancer,Phase III,Completed,PrimeCare,Japan
CT-000274,MOLR1,Respiratory,Phase II,Suspended,OncoGenix,Canada
CT-000275,MOLC,Breast Cancer,Phase II,Suspended,Sunrise Therapeutics,India
CT-000276,MOLRA3,Migraine,Phase III,Completed,MedLife Corp,Brazil
CT-000277,MOLP3,Osteoporosis,Phase II,Completed,PrimeCare,Japan
CT-000278,MOLIBD2,Rheumatoid Arthritis,Phase II,Suspended,MedLife Corp,Brazil
CT-000279,MOLP2,Psoriasis,Phase II,Active,Sunrise Therapeutics,China
CT-000280,MOLBC1,Migraine,Phase II,Active,GlobalBio,China
CT-000281,MOL2,Inflammatory Bowel Disease,Phase III,Active,GlobalBio,Japan
CT-000282,MOLDEP3,Heart Failure,Phase III,Suspended,Sunrise Therapeutics,Global
CT-000283,MOLIBD2,Lung Cancer,Phase I,Suspended,PrimeCare,Brazil
CT-000284,MOLR1,Depression,Phase IV,Completed,PrimeCare,Brazil
CT-000285,MOLO2,Lung Cancer,Phase II,Recruiting,Sunrise Therapeutics,Canada
CT-000286,MOLM1,Rheumatoid Arthritis,Phase I,Active,PrimeCare,Global
CT-000287,MOL2,Psoriasis,Phase IV,Recruiting,MedLife Corp,Australia
CT-000288,MOLX,Migraine,Phase III,Recruiting,ABC Pharma,Japan
CT-000289,MOLDEP2,Hypertension,Phase IV,Recruiting,ABC Pharma,US
CT-000290,MOL2,Lung Cancer,Phase III,Active,PrimeCare,US
CT-000291,MOLX,Type 2 Diabetes,Phase II,Terminated,PrimeCare,India
CT-000292,MOLRA2,Rheumatoid Arthritis,Phase II,Active,OncoGenix,Global
CT-000293,MOLHF1,COPD,Phase III,Completed,XYZ Pharma,US
CT-000294,MOLC,Psoriasis,Phase IV,Active,OncoGenix,Global
CT-000295,MOLDEP1,Hypertension,Phase IV,Suspended,XYZ Pharma,China
CT-000296,MOL2,Heart Failure,Phase III,Terminated,XYZ Pharma,EU
CT-000297,MOLRA1,Inflammatory Bowel Disease,Phase IV,Completed,ABC Pharma,Global
CT-000298,MOLP2,Migraine,Phase IV,Terminated,PrimeCare,China
CT-000299,MOLR1,Lung Cancer,Phase IV,Active,MedLife Corp,Japan
CT-000300,MOLBC3,Inflammatory Bowel Disease,Phase IV,Suspended,OncoGenix,Japan
CT-000301,MOLD3,Inflammatory Bowel Disease,Phase IV,Suspended,ABC Pharma,Japan
CT-000302,MOLD3,Heart Failure,Phase I,Completed,PrimeCare,India
CT-000303,MOLM2,Inflammatory Bowel Disease,Phase II,Completed,GlobalBio,Brazil
CT-000304,MOLH3,Breast Cancer,Phase II,Suspended,MedLife Corp,Australia
CT-000305,MOLIBD1,Lung Cancer,Phase IV,Terminated,ABC Pharma,India
CT-000306,MOLH1,Asthma,Phase II,Suspended,OncoGenix,Japan
CT-000307,MOLH1,Hypertension,Phase III,Active,NovaCure,Canada
CT-000308,MOLBC1,Psoriasis,Phase IV,Active,NovaCure,EU
CT-000309,MOLHF3,Heart Failure,Phase II,Completed,PrimeCare,Japan
CT-000310,MOLDEP1,Osteoporosis,Phase III,Active,ABC Pharma,India
CT-000311,MOL2,Chronic Kidney Disease,Phase I,Terminated,NovaCure,Brazil
CT-000312,MOLCKD3,Rheumatoid Arthritis,Phase IV,Recruiting,OncoGenix,Japan
CT-000313,MOLLC1,Depression,Phase I,Active,XYZ Pharma,US
CT-000314,MOLCKD2,Hypertension,Phase I,Completed,XYZ Pharma,US
CT-000315,MOLLC2,Type 2 Diabetes,Phase I,Recruiting,Sunrise Therapeutics,Japan
CT-000316,MOL2,Osteoporosis,Phase IV,Terminated,MedLife Corp,Canada
CT-000317,MOLCKD3,Respiratory,Phase I,Suspended,PrimeCare,US
CT-000318,MOLRA3,Rheumatoid Arthritis,Phase III,Suspended,PrimeCare,Brazil
CT-000319,MOLHF1,Rheumatoid Arthritis,Phase III,Completed,Sunrise Therapeutics,Global
CT-000320,MOLP2,Psoriasis,Phase I,Recruiting,NovaCure,US
CT-000321,MOLA,Heart Failure,Phase IV,Suspended,Sunrise Therapeutics,Australia
CT-000322,MOLRA3,Type 2 Diabetes,Phase III,Active,MedLife Corp,EU
CT-000323,MOLCKD3,Depression,Phase II,Completed,OncoGenix,Canada
CT-000324,MOLX,COPD,Phase II,Active,NovaCure,EU
CT-000325,MOLIBD3,Depression,Phase III,Terminated,XYZ Pharma,Global
CT-000326,MOLP2,Rheumatoid Arthritis,Phase I,Active,Sunrise Therapeutics,US
CT-000327,MOL1,Rheumatoid Arthritis,Phase II,Completed,MedLife Corp,EU
CT-000328,MOLHF3,Migraine,Phase II,Terminated,PrimeCare,US
CT-000329,MOLHF2,Osteoporosis,Phase I,Recruiting,MedLife Corp,EU
CT-000330,MOLHF3,Asthma,Phase II,Completed,ABC Pharma,EU
CT-000331,MOLIBD3,Chronic Kidney Disease,Phase I,Suspended,Sunrise Therapeutics,Australia
CT-000332,MOLH1,Chronic Kidney Disease,Phase I,Completed,OncoGenix,India
CT-000333,MOLH1,Migraine,Phase IV,Terminated,GlobalBio,Brazil
CT-000334,MOLIBD1,Breast Cancer,Phase III,Recruiting,PrimeCare,Australia
CT-000335,MOL2,Breast Cancer,Phase IV,Terminated,Sunrise Therapeutics,Brazil
