molecule,indication,country,year,sales_usd_mn,cagr_5y,competitors,patient_burden_index
MOLH2,Breast Cancer,India,2019,348.29,4.14,11,0.78
MOLM1,Migraine,EU,2017,713.38,5.98,4,0.92
MOLHF2,Lung Cancer,Canada,2015,731.62,19.64,13,0.95
MOLLC3,COPD,US,2023,354.68,5.15,6,0.91
MOLX,Inflammatory Bowel Disease,India,2020,702.81,10.69,6,0.29
MOLHF3,Migraine,Canada,2022,778.74,14.19,20,0.98
MOLRA1,Asthma,Brazil,2016,170.26,9.52,14,0.25
MOLLC2,Breast Cancer,EU,2024,515.75,13.89,10,0.59
MOLO2,Heart Failure,Brazil,2020,370.04,15.15,17,0.9
MOLR3,Breast Cancer,Brazil,2016,225.65,0.82,23,0.56
MOLP2,Respiratory,Australia,2015,364.87,13.78,4,0.38
MOLO2,Lung Cancer,Global,2023,96.73,12.63,2,0.25
MOLIBD2,Inflammatory Bowel Disease,Japan,2017,146.15,14.21,11,0.91
MOLLC2,Rheumatoid Arthritis,Australia,2018,180.08,-2.52,1,0.34
MOLP3,Hypertension,India,2015,881.35,11.83,16,0.91
MOLLC2,Rheumatoid Arthritis,Canada,2016,718.39,5.99,17,0.43
MOLCKD1,Osteoporosis,US,2018,448.06,1.91,12,0.63
MOLP1,Asthma,Japan,2019,550.91,4.55,9,0.82
MOLR1,Respiratory,EU,2022,224.49,18.3,17,0.46
MOLBC3,Asthma,Global,2024,978.08,18.22,2,0.73
MOLRA2,Psoriasis,India,2020,101.75,-2.73,14,0.96
MOLM2,Lung Cancer,Australia,2024,832.27,15.76,1,0.47
MOLX,Migraine,China,2016,179.97,12.79,1,0.67
MOLRA2,Inflammatory Bowel Disease,Australia,2024,792.92,17.48,23,0.43
MOLLC1,Inflammatory Bowel Disease,Global,2023,117.57,-2.82,24,0.47
MOLR3,Type 2 Diabetes,US,2022,456.11,1.56,2,0.57
MOLH3,Chronic Kidney Disease,Japan,2018,59.5,15.86,13,0.39
MOLRA2,COPD,Global,2022,433.27,3.68,18,0.26
MOLLC3,Hypertension,Global,2022,94.12,4.41,10,0.78
MOLP3,Osteoporosis,Brazil,2024,342.66,-1.07,8,0.78
MOLRA2,Type 2 Diabetes,Canada,2019,901.73,-4.84,5,0.78
MOLHF3,Hypertension,Canada,2018,631.54,18.71,10,0.28
MOLD3,COPD,EU,2018,121.0,17.94,8,0.33
MOLCKD3,Psoriasis,Japan,2015,955.33,3.23,10,0.58
MOLO2,Rheumatoid Arthritis,India,2022,870.68,11.77,9,0.38
MOLBC2,Migraine,Japan,2024,771.58,18.99,14,0.89
MOLIBD2,Chronic Kidney Disease,Global,2024,702.13,18.64,19,0.27
MOLRA3,Breast Cancer,Brazil,2019,50.42,10.55,23,0.44
MOLBC3,Lung Cancer,EU,2024,347.7,10.65,1,0.93
MOLLC2,Rheumatoid Arthritis,Japan,2018,430.62,5.13,3,0.9
MOLHF1,Hypertension,Japan,2017,418.89,12.28,5,0.61
MOLLC2,Lung Cancer,Brazil,2020,150.5,13.13,1,0.92
MOLRA3,Osteoporosis,US,2022,982.22,16.32,2,0.71
MOLM2,Chronic Kidney Disease,China,2015,288.56,16.35,22,0.66
MOL1,Asthma,EU,2016,784.01,3.55,2,0.68
MOLHF2,Depression,Global,2019,111.18,15.94,19,0.72
MOL2,Type 2 Diabetes,Canada,2020,177.14,4.33,22,0.56
MOLCKD1,COPD,Canada,2023,707.49,-2.7,22,0.53
MOLX,Hypertension,Australia,2019,898.91,3.57,24,0.57
MOLCKD1,Psoriasis,China,2020,532.99,10.8,6,0.5
MOLHF3,Psoriasis,China,2017,987.68,12.18,20,0.94
MOLDEP2,Respiratory,Japan,2023,108.21,19.71,24,0.77
MOLRA1,Psoriasis,Global,2018,219.02,19.56,6,0.9
MOLD2,Heart Failure,India,2016,872.19,1.12,20,0.97
MOLDEP3,Breast Cancer,Brazil,2016,431.1,19.31,11,0.75
MOL2,Type 2 Diabetes,US,2018,171.14,18.59,17,0.92
MOLLC1,Inflammatory Bowel Disease,Global,2023,398.2,6.65,15,0.59
MOLH3,Heart Failure,EU,2016,429.5,3.4,24,0.94
MOLC,Breast Cancer,US,2019,635.37,13.26,3,0.38
MOLLC2,Hypertension,Canada,2022,626.51,11.06,5,0.7
MOLY,Breast Cancer,Canada,2018,279.72,14.73,15,0.75
MOLM3,Psoriasis,Global,2018,440.58,13.95,22,0.71
MOLCKD1,Psoriasis,China,2016,503.78,0.42,1,0.78
MOLHF1,Hypertension,US,2019,126.41,14.59,3,0.94
MOLHF3,Hypertension,Global,2016,713.57,8.06,6,0.6
MOLDEP1,Migraine,China,2015,806.17,11.44,15,0.74
MOLD2,Chronic Kidney Disease,EU,2020,372.57,4.91,16,0.23
MOLA,Psoriasis,Australia,2023,713.08,4.62,20,0.58
MOLH3,Heart Failure,US,2022,618.02,16.23,11,0.69
MOLIBD3,Respiratory,Global,2022,780.34,-2.6,2,0.38
MOLY,Breast Cancer,Canada,2016,721.64,3.74,22,0.37
MOLR2,Rheumatoid Arthritis,India,2022,952.16,1.36,24,0.75
MOL1,Asthma,India,2018,682.74,0.69,22,0.3
MOLBC1,Heart Failure,US,2022,351.86,5.64,1,0.53
MOLIBD3,Hypertension,Brazil,2020,44.87,5.14,9,0.8
MOLDEP1,COPD,Global,2017,941.38,17.91,11,0.31
MOLH1,Rheumatoid Arthritis,Canada,2017,797.22,13.38,21,0.25
MOLIBD2,Inflammatory Bowel Disease,Japan,2020,662.56,8.27,9,0.65
MOLRA3,Respiratory,EU,2024,338.48,4.83,6,0.44
MOLD2,Type 2 Diabetes,Japan,2019,464.43,15.83,7,0.87
MOLIBD2,Depression,Canada,2020,610.24,7.61,4,0.28
MOLC,Heart Failure,Australia,2024,147.12,10.64,2,0.95
MOLIBD3,Asthma,Canada,2021,463.44,-4.01,4,0.76
MOLCKD3,COPD,Global,2016,721.19,4.0,16,0.66
MOLBC1,Depression,Canada,2016,215.23,0.9,7,0.63
MOLDEP1,COPD,EU,2018,697.98,-1.52,19,0.82
MOLH2,Hypertension,Global,2019,198.11,5.08,1,0.78
MOLD2,Psoriasis,Canada,2018,174.9,9.37,22,0.57
MOLHF2,Rheumatoid Arthritis,Canada,2022,426.39,12.38,1,0.3
MOLH1,Chronic Kidney Disease,China,2016,262.8,6.29,13,0.7
MOLX,Type 2 Diabetes,EU,2016,990.76,-0.39,13,0.51
MOLBC1,Inflammatory Bowel Disease,China,2020,237.19,-1.83,7,0.8
MOLD2,Psoriasis,EU,2015,465.85,19.71,24,0.64
MOLO3,Breast Cancer,EU,2020,522.45,19.25,15,0.21
MOLR2,Hypertension,EU,2019,735.7,13.73,13,0.65
MOLCKD1,Chronic Kidney Disease,Australia,2018,871.49,5.67,7,0.48
MOLRA3,Chronic Kidney Disease,EU,2022,332.18,-4.41,5,0.87
MOLX,Asthma,US,2023,598.92,0.63,15,0.55
MOLA,Lung Cancer,Japan,2020,859.88,17.9,24,0.54
MOLC,Rheumatoid Arthritis,EU,2019,358.93,7.13,19,0.76
MOLO1,Depression,Brazil,2022,442.3,8.53,11,0.81
MOLH1,Psoriasis,China,2020,507.8,-2.38,8,0.29
MOLHF1,Respiratory,Australia,2021,790.54,-1.77,2,0.48
MOLIBD3,Type 2 Diabetes,Global,2021,844.24,4.51,24,0.22
MOLCKD3,Rheumatoid Arthritis,China,2019,23.45,16.72,9,0.7
MOLR1,Heart Failure,EU,2016,480.49,9.69,10,0.61
MOLC,Breast Cancer,Canada,2015,144.07,10.6,16,0.73
MOLDEP1,Breast Cancer,India,2022,250.17,15.37,6,0.8
MOLP1,Chronic Kidney Disease,Brazil,2024,917.53,11.1,10,0.85
MOLRA2,Rheumatoid Arthritis,Australia,2021,196.57,7.83,19,0.58
MOLM2,Rheumatoid Arthritis,Brazil,2020,621.71,10.14,2,0.37
MOLIBD1,Asthma,US,2015,258.61,2.01,18,0.34
MOLBC3,Rheumatoid Arthritis,China,2019,975.66,11.88,23,0.66
MOLP3,Migraine,EU,2020,134.03,13.39,22,0.3
MOLDEP2,Rheumatoid Arthritis,Canada,2017,562.75,-0.09,6,0.22
MOLRA2,Migraine,EU,2022,529.3,7.38,18,0.7
MOLM1,Rheumatoid Arthritis,EU,2017,892.17,2.83,12,0.35
MOLX,Inflammatory Bowel Disease,Japan,2015,554.79,18.83,1,0.64
MOLR1,Type 2 Diabetes,EU,2015,549.76,12.14,16,0.65
MOLDEP2,Breast Cancer,Japan,2019,865.15,-3.79,10,0.44
MOLCKD3,Hypertension,China,2024,511.74,-0.47,5,0.5
MOLHF3,Heart Failure,Japan,2016,167.25,6.17,9,0.63
MOLDEP1,Lung Cancer,Canada,2018,245.1,16.47,21,0.64
MOLHF3,Inflammatory Bowel Disease,Brazil,2016,177.25,-1.82,22,0.36
MOLIBD3,Psoriasis,Brazil,2015,739.15,-3.75,13,0.96
MOLA,Inflammatory Bowel Disease,Japan,2024,493.26,11.18,14,0.94
MOLH2,Psoriasis,India,2018,59.67,11.12,3,0.95
MOLLC1,Inflammatory Bowel Disease,Canada,2016,648.56,8.57,16,0.51
MOLIBD3,Lung Cancer,Global,2021,254.06,-0.44,23,0.74
MOLO2,Psoriasis,China,2016,584.35,10.11,9,0.91
MOLH2,Osteoporosis,India,2017,969.19,4.31,23,0.98
MOLDEP1,Inflammatory Bowel Disease,Japan,2020,988.54,10.73,16,0.72
MOLD1,Chronic Kidney Disease,China,2022,949.06,11.22,15,0.25
MOLD3,Breast Cancer,India,2017,826.84,9.83,24,0.91
MOLRA2,Osteoporosis,EU,2018,813.26,-0.02,4,0.45
MOLIBD3,Respiratory,EU,2016,564.24,17.53,5,0.64
MOLM3,Asthma,Australia,2015,527.91,17.25,20,0.79
MOLP3,Depression,China,2024,440.37,-4.9,4,0.53
MOLDEP2,Heart Failure,Global,2022,347.81,12.82,24,0.59
MOLM3,Respiratory,India,2023,581.13,-0.54,23,0.73
MOLD2,Chronic Kidney Disease,Global,2016,436.49,18.74,20,0.82
MOLP3,Heart Failure,US,2024,963.87,-2.98,7,0.91
MOLP2,Asthma,Canada,2020,33.52,17.56,12,0.62
MOLP1,Hypertension,Japan,2019,673.8,10.04,17,0.56
MOLCKD2,Respiratory,China,2020,940.27,2.48,16,0.25
MOLLC3,Respiratory,India,2015,637.56,1.81,5,0.95
MOLCKD3,Lung Cancer,Brazil,2021,574.2,7.43,5,0.55
MOLBC3,Type 2 Diabetes,Global,2018,966.82,1.34,3,0.83
MOLIBD1,Type 2 Diabetes,Australia,2018,718.27,18.11,8,0.68
MOLLC2,Respiratory,Japan,2024,941.54,18.48,6,0.97
MOLHF3,Inflammatory Bowel Disease,Canada,2024,569.49,2.73,10,0.43
MOLBC3,Heart Failure,EU,2020,940.98,9.25,19,0.76
MOLD1,Hypertension,US,2023,539.98,11.56,13,0.45
MOLHF3,Rheumatoid Arthritis,US,2023,821.19,16.46,14,0.24
MOLH3,Chronic Kidney Disease,China,2017,123.99,2.42,11,0.49
MOL2,Type 2 Diabetes,Australia,2023,877.4,13.81,23,0.28
MOLLC1,Lung Cancer,EU,2018,978.35,17.87,4,0.86
MOLO3,Hypertension,Brazil,2022,536.4,9.56,18,0.58
MOLY,Rheumatoid Arthritis,China,2016,258.36,0.85,24,0.57
MOLBC1,Lung Cancer,Japan,2018,180.77,5.82,22,0.4
MOLIBD2,Inflammatory Bowel Disease,EU,2020,605.62,19.03,7,0.6
MOLM1,Psoriasis,Japan,2019,420.81,13.92,19,0.36
MOLY,Asthma,Japan,2018,724.4,19.84,2,0.84
MOLD1,Hypertension,Canada,2019,917.22,8.74,12,0.64
MOLD1,Asthma,EU,2021,780.77,9.59,14,0.67
MOLHF1,Migraine,Brazil,2015,168.98,9.13,7,0.78
MOLD3,Psoriasis,Brazil,2016,810.66,-0.6,8,0.88
MOLLC1,Psoriasis,US,2024,957.16,7.42,8,0.41
MOLCKD2,Asthma,Global,2020,870.45,1.39,22,0.24
MOLDEP1,Asthma,India,2015,128.37,19.43,14,0.71
MOLCKD3,Rheumatoid Arthritis,China,2019,117.61,13.01,10,0.64
MOLIBD2,Chronic Kidney Disease,Canada,2022,217.59,-4.51,5,0.76
MOLLC2,Chronic Kidney Disease,Brazil,2021,106.63,-2.69,7,0.73
MOLBC1,Psoriasis,China,2021,103.94,5.4,16,0.29
MOLBC1,Breast Cancer,US,2023,831.77,10.8,7,0.28
MOLD1,Respiratory,China,2019,100.72,16.95,13,0.63
MOLDEP2,Inflammatory Bowel Disease,US,2015,249.23,3.31,21,0.34
MOL2,Depression,Australia,2016,476.97,-2.02,8,0.96
MOLC,Rheumatoid Arthritis,EU,2018,516.8,11.94,7,0.62
MOLLC2,Osteoporosis,Australia,2018,295.97,14.19,16,0.55
MOLIBD2,Heart Failure,China,2018,215.17,1.84,3,0.71
MOLC,Chronic Kidney Disease,EU,2021,308.42,1.48,10,0.93
MOLO1,Inflammatory Bowel Disease,China,2022,918.89,0.62,12,0.46
MOLX,Migraine,US,2024,986.92,-0.42,4,0.48
MOLD2,Asthma,Brazil,2022,498.04,-1.85,14,0.24
MOLH1,Hypertension,Global,2023,81.66,16.79,8,0.63
MOLRA3,Psoriasis,US,2018,666.97,2.59,6,0.4
MOLP3,Osteoporosis,Japan,2024,923.04,7.17,6,0.67
MOLDEP3,Depression,China,2023,511.95,18.89,14,0.9
MOLHF1,Migraine,Canada,2020,187.29,11.91,8,0.24
MOLCKD1,Psoriasis,Canada,2019,211.07,16.86,11,0.29
MOLH1,Migraine,EU,2021,573.65,18.75,11,0.48
MOLD3,Heart Failure,India,2022,328.78,11.44,17,0.36
MOLM1,Chronic Kidney Disease,Global,2024,80.57,8.84,2,0.45
MOLHF3,Psoriasis,Brazil,2017,888.93,6.36,10,0.42
MOL2,Inflammatory Bowel Disease,US,2023,769.5,0.97,24,0.36
MOLM3,Migraine,Australia,2022,508.36,18.07,10,0.67
MOLLC2,Breast Cancer,India,2020,244.35,-1.95,13,0.49
MOLCKD2,Psoriasis,EU,2023,346.47,7.89,17,0.21
MOLM1,Rheumatoid Arthritis,Canada,2020,138.63,6.14,15,0.55
MOLM1,Chronic Kidney Disease,US,2018,376.24,-3.49,4,0.72
MOLD3,Migraine,EU,2022,374.39,9.74,15,0.71
MOLIBD3,Lung Cancer,Japan,2023,25.82,-1.75,10,0.33
MOLP1,Respiratory,EU,2016,816.9,1.41,6,0.56
MOLLC1,Osteoporosis,US,2019,882.23,10.33,14,0.51
MOLHF1,Breast Cancer,Australia,2020,685.08,-4.47,1,0.79
MOL2,Inflammatory Bowel Disease,Japan,2024,636.32,14.62,8,0.56
MOLD2,Respiratory,Brazil,2015,304.03,-0.69,4,0.4
MOLLC1,COPD,Japan,2017,628.8,18.93,3,0.93
MOLP1,COPD,Japan,2019,353.2,7.79,18,0.32
MOLA,Chronic Kidney Disease,China,2017,480.77,19.32,15,0.92
MOLRA1,Migraine,China,2024,151.69,-0.37,13,0.53
MOLO3,Lung Cancer,China,2022,749.73,-2.98,8,0.23
MOLBC2,COPD,EU,2023,282.01,-2.27,23,0.74
MOLP1,COPD,India,2024,634.16,12.3,14,0.49
MOLP1,Osteoporosis,India,2016,78.7,14.28,7,0.54
MOLRA1,Migraine,EU,2023,309.74,16.87,12,0.62
MOL2,Osteoporosis,Brazil,2016,667.6,9.13,18,0.37
MOLCKD3,Type 2 Diabetes,Canada,2015,459.29,1.63,15,0.7
MOLD2,Heart Failure,US,2019,751.56,4.93,6,0.81
MOLM3,Respiratory,US,2018,629.32,9.55,7,0.98
MOLH2,Inflammatory Bowel Disease,Japan,2024,183.64,-0.66,16,0.21
MOLR3,Type 2 Diabetes,EU,2016,799.19,-0.56,19,0.93
MOLBC2,Hypertension,Japan,2019,890.23,-0.93,4,0.95
MOLP1,Inflammatory Bowel Disease,EU,2017,271.77,12.02,7,0.31
MOLBC1,Inflammatory Bowel Disease,Australia,2016,260.26,10.48,1,0.97
MOLR2,Asthma,US,2015,473.98,15.56,14,0.65
MOLR2,COPD,Japan,2020,164.21,16.18,12,0.53
MOLBC3,Asthma,Australia,2021,272.37,14.01,24,0.53
MOLX,Hypertension,Canada,2017,386.93,4.75,8,0.74
MOLH1,Osteoporosis,Japan,2024,235.79,8.7,17,0.38
MOLLC3,Breast Cancer,Brazil,2019,698.83,1.05,21,0.88
MOLBC1,Chronic Kidney Disease,Global,2018,619.71,13.07,5,0.5
MOLM3,Respiratory,US,2019,557.99,9.47,16,0.85
MOLM3,Heart Failure,Canada,2021,749.03,12.1,8,0.66
MOLRA2,Inflammatory Bowel Disease,Australia,2021,380.35,12.67,13,0.26
MOLCKD3,Lung Cancer,Global,2020,843.3,5.23,10,0.6
MOLLC3,Respiratory,China,2021,504.41,1.77,17,0.97
MOLD2,Breast Cancer,Global,2018,370.79,-0.91,21,0.32
MOLRA2,Osteoporosis,EU,2021,159.81,-3.78,19,0.91
MOLDEP1,Respiratory,Japan,2016,585.72,7.38,15,0.26
MOLH1,Lung Cancer,China,2018,161.7,2.24,16,0.85
MOLHF1,Osteoporosis,Canada,2020,204.61,-4.65,7,0.87
MOL2,Respiratory,Brazil,2016,506.6,-1.46,7,0.29
MOLP2,Asthma,Global,2020,718.07,-3.47,5,0.65
MOLLC1,Rheumatoid Arthritis,Japan,2015,371.94,10.19,1,0.37
MOLD1,Depression,Canada,2019,674.58,7.9,22,0.98
MOLX,Heart Failure,Canada,2022,342.81,0.09,1,0.62
MOLLC1,Rheumatoid Arthritis,Global,2018,707.41,16.52,14,0.28
MOLH1,Respiratory,Global,2015,303.34,10.03,21,0.26
MOLH1,Inflammatory Bowel Disease,China,2017,287.95,0.38,3,0.91
MOLD2,Heart Failure,EU,2017,519.15,14.42,11,0.96
MOLLC1,Osteoporosis,Canada,2020,707.86,1.21,12,0.35
MOLP1,Depression,US,2019,802.15,2.69,2,0.94
MOLY,Migraine,Australia,2021,355.68,4.74,5,0.63
MOLHF1,Chronic Kidney Disease,Brazil,2020,924.07,6.62,13,0.81
MOLLC1,Depression,China,2022,399.76,3.48,17,0.24
MOLLC1,Inflammatory Bowel Disease,India,2020,720.19,16.79,21,0.57
MOLCKD2,Breast Cancer,India,2016,28.9,-4.7,7,0.23
MOLHF2,Asthma,US,2023,113.35,-2.17,24,0.88
MOLM3,Heart Failure,Australia,2021,531.38,-4.41,17,0.29
MOL1,Psoriasis,China,2021,760.9,10.58,14,0.38
MOLO3,Depression,EU,2015,290.07,13.41,12,0.51
MOLH3,Chronic Kidney Disease,EU,2016,996.29,15.33,17,0.22
MOLIBD2,Breast Cancer,India,2021,488.03,-2.28,6,0.29
MOLO3,Asthma,Canada,2021,232.02,-1.55,23,0.38
MOLDEP3,Chronic Kidney Disease,India,2022,962.98,19.45,14,0.4
MOLD3,Osteoporosis,China,2015,829.04,9.34,6,0.61
MOLCKD1,Heart Failure,Canada,2020,776.57,16.13,4,0.93
MOLD3,Chronic Kidney Disease,Japan,2023,898.62,5.1,10,0.39
MOLCKD2,Depression,China,2022,139.43,-4.38,21,0.69
MOLBC1,COPD,EU,2021,78.07,18.4,3,0.34
MOLA,Respiratory,Australia,2018,632.56,19.0,12,0.78
MOLIBD3,Rheumatoid Arthritis,Canada,2015,648.21,-1.12,11,0.31
MOLLC1,Lung Cancer,Australia,2017,156.49,10.51,14,0.58
MOLH2,Depression,Australia,2016,20.46,0.51,5,0.57
MOLRA1,Breast Cancer,Global,2021,718.91,17.75,13,0.87
MOLD3,Type 2 Diabetes,Japan,2024,573.42,10.04,5,0.28
MOLR1,Breast Cancer,Brazil,2019,314.21,12.38,14,0.57
MOLR1,Respiratory,India,2021,972.96,-2.72,8,0.81
MOLO2,Rheumatoid Arthritis,China,2017,647.05,14.3,20,0.87
MOLR1,Hypertension,EU,2016,63.61,1.83,19,0.64
MOLR1,Heart Failure,Canada,2022,428.44,13.13,10,0.29
MOLP1,Heart Failure,India,2024,395.56,16.52,8,0.74
MOLD1,Migraine,Global,2024,60.81,-3.68,21,0.78
MOLA,Psoriasis,Global,2019,402.89,17.97,1,0.38
MOLR2,Rheumatoid Arthritis,Australia,2019,680.85,14.42,9,0.76
MOLHF2,Migraine,US,2024,990.53,15.63,1,0.79
MOLCKD3,Heart Failure,Japan,2019,311.18,16.37,14,0.96
MOLP1,Asthma,US,2016,899.91,0.44,10,0.77
MOLCKD1,Heart Failure,India,2020,292.29,14.26,20,0.22
MOLO2,Respiratory,Brazil,2021,586.86,16.45,12,0.25
MOLIBD2,Respiratory,India,2020,484.23,2.78,8,0.5
MOLBC1,Depression,EU,2023,590.28,8.27,7,0.94
MOLRA2,Asthma,Brazil,2017,298.98,11.73,4,0.86
MOLRA3,Rheumatoid Arthritis,Japan,2023,715.28,19.43,17,0.3
MOLBC3,Chronic Kidney Disease,US,2015,626.57,-2.32,6,0.69
MOL1,Rheumatoid Arthritis,China,2022,754.48,2.75,4,0.32
MOLY,Osteoporosis,EU,2019,693.1,10.33,16,0.35
MOLP2,Osteoporosis,Japan,2018,274.74,-2.94,20,0.74
MOLO3,Chronic Kidney Disease,China,2023,625.31,2.44,2,0.44
MOLR2,Chronic Kidney Disease,India,2024,491.6,15.87,7,0.4
MOLHF1,COPD,Global,2018,812.47,18.78,3,0.82
MOLC,COPD,Australia,2015,520.08,13.95,11,0.92
MOLC,COPD,Australia,2017,702.83,-4.85,21,0.56
MOLM2,COPD,Australia,2017,374.78,-1.57,18,0.71
MOLR2,Chronic Kidney Disease,Brazil,2024,304.05,12.21,10,0.56
MOLCKD2,Heart Failure,Global,2021,154.15,8.92,19,0.57
MOLH2,Type 2 Diabetes,EU,2016,550.16,17.92,1,0.32
MOLCKD2,Asthma,China,2020,820.5,18.12,6,0.56
MOLR3,Migraine,Brazil,2019,436.87,6.88,2,0.49
MOLBC1,Migraine,US,2017,975.91,-0.91,16,0.51
MOLIBD1,Hypertension,Australia,2022,373.48,-4.89,3,0.58
MOLH3,COPD,US,2015,162.29,16.39,5,0.35
MOLLC1,Rheumatoid Arthritis,Japan,2018,986.43,12.87,24,0.92
MOLRA1,Type 2 Diabetes,EU,2016,286.89,8.64,1,0.96
MOLH3,Breast Cancer,Japan,2021,551.33,12.24,6,0.42
MOLLC3,Depression,Australia,2017,58.86,18.81,10,0.97
MOLHF2,Respiratory,Australia,2024,816.65,14.56,10,0.71
MOLM2,Respiratory,Canada,2020,987.35,17.01,6,0.22
MOLO2,Inflammatory Bowel Disease,Japan,2020,771.38,15.99,8,0.29
MOLH1,Hypertension,Australia,2017,283.8,6.4,14,0.29
MOLR2,Chronic Kidney Disease,Global,2024,22.06,3.14,9,0.33
MOLBC3,Heart Failure,Global,2021,760.94,4.18,6,0.75
MOLLC1,COPD,Australia,2017,672.12,-0.34,7,0.98
MOLBC3,Lung Cancer,Canada,2023,62.72,3.69,3,0.95
MOLO1,Inflammatory Bowel Disease,Australia,2017,500.64,13.78,24,0.37
MOLIBD1,Migraine,Australia,2023,960.0,4.56,12,0.45
MOLM2,Lung Cancer,Brazil,2017,425.34,14.02,18,0.28
MOLLC1,COPD,US,2019,361.95,9.98,14,0.31
MOLH2,Breast Cancer,Brazil,2024,63.29,14.64,9,0.63
MOLHF2,Type 2 Diabetes,China,2016,149.7,8.03,16,0.32
MOLBC1,Asthma,Australia,2017,591.74,3.28,22,0.5
MOLD1,Osteoporosis,US,2023,380.94,-4.38,4,0.75
MOLC,Depression,China,2021,764.62,1.04,2,0.46
MOLHF2,Respiratory,Japan,2020,711.31,13.96,20,0.71
MOLRA1,Breast Cancer,India,2020,517.76,-0.47,18,0.75
MOLCKD1,Respiratory,Japan,2022,402.97,-1.41,23,0.99
MOLM2,Chronic Kidney Disease,Global,2020,617.21,2.81,13,0.89
MOLP3,Type 2 Diabetes,EU,2022,784.1,12.04,4,0.36
MOLH2,Migraine,EU,2022,295.82,2.65,9,0.64
MOLR1,Breast Cancer,Canada,2015,292.04,7.28,14,0.46
MOLCKD2,Breast Cancer,EU,2019,422.98,3.28,18,0.27
MOLLC1,Respiratory,US,2018,637.75,6.74,24,0.22
MOLCKD1,Respiratory,Brazil,2015,299.75,11.08,3,0.22
MOLP2,Migraine,Canada,2020,175.82,-0.83,1,0.88
MOLM3,Type 2 Diabetes,Canada,2023,589.48,11.78,9,0.7
MOLP1,COPD,India,2021,277.05,13.3,10,0.26
MOLD1,Chronic Kidney Disease,US,2015,373.24,7.9,16,0.81
MOLO2,Type 2 Diabetes,India,2020,746.79,-0.03,21,0.75
MOLBC3,Psoriasis,US,2019,832.85,1.94,24,0.93
MOLC,Heart Failure,China,2021,369.03,13.59,21,0.29
MOLH2,Inflammatory Bowel Disease,EU,2019,780.16,11.49,12,0.27
MOLH1,Heart Failure,Canada,2020,509.04,7.92,3,0.36
MOL2,Inflammatory Bowel Disease,India,2023,432.35,19.31,11,0.94
MOLH3,Chronic Kidney Disease,India,2019,810.05,-1.55,16,0.72
MOLO1,Type 2 Diabetes,China,2019,548.35,3.68,21,0.3
MOLM1,Inflammatory Bowel Disease,Japan,2015,522.37,3.62,9,0.65
