molecule,formulation,country,year,import_tonnes,export_tonnes
MOLHF3,Syrup,Brazil,2018,28.39,198.05
MOLDEP1,Injection,China,2018,136.56,143.69
MOLRA1,Syrup,Australia,2019,168.68,87.57
MOLHF3,Suspension,Global,2020,71.75,149.18
MOLR3,Patch,Japan,2020,164.41,104.31
MOLLC2,Patch,Global,2019,41.83,133.93
MOLHF3,API,Canada,2020,36.39,105.23
MOLHF1,Patch,China,2016,85.69,164.92
MOLP3,Inhaler,India,2017,119.76,16.79
MOLRA1,Syrup,Canada,2024,43.31,21.58
MOLDEP2,API,Brazil,2021,100.02,110.99
MOLP2,Inhaler,Global,2019,181.51,180.15
MOLBC2,Tablet,Canada,2023,138.56,29.47
MOLDEP1,Suspension,China,2020,11.06,14.74
MOLD1,Ointment,India,2015,196.33,34.52
MOLO3,Injection,Japan,2024,56.4,131.69
MOLCKD1,Ointment,India,2020,105.53,13.56
MOLDEP1,Syrup,Japan,2020,74.34,39.0
MOLA,Patch,Canada,2023,95.35,133.89
MOL2,Tablet,India,2015,154.23,104.66
MOLR1,Tablet,Canada,2024,151.8,32.97
MOLIBD3,Ointment,Japan,2020,31.54,55.09
MOL2,Tablet,EU,2023,136.53,155.81
MOLDEP2,API,Brazil,2019,31.42,32.74
MOLP1,Syrup,India,2020,15.72,96.37
MOLDEP2,Capsule,Canada,2022,23.15,157.79
MOLH3,API,Brazil,2021,85.23,138.18
MOLH2,Injection,Australia,2016,57.92,195.96
MOLIBD3,Patch,India,2018,129.6,124.26
MOLD2,Suspension,India,2020,110.86,9.2
MOLP1,Ointment,Global,2017,66.73,176.01
MOLD3,Tablet,Australia,2019,197.01,196.49
MOLY,Patch,Brazil,2022,103.49,183.45
MOLD2,Syrup,India,2018,196.62,180.36
MOLH3,API,Global,2024,183.4,139.31
MOLLC3,API,Canada,2024,14.52,199.01
MOLDEP3,API,India,2022,194.45,21.89
MOLLC2,Capsule,Australia,2020,109.05,47.38
MOL2,Ointment,China,2016,176.01,56.3
MOLHF3,Injection,Global,2019,112.4,19.81
MOLCKD1,Capsule,Australia,2023,100.5,61.43
MOLRA2,Suspension,Japan,2015,191.09,185.34
MOLDEP1,API,India,2018,122.54,32.87
MOLP1,Inhaler,Brazil,2020,72.08,159.25
MOLHF1,Patch,Japan,2024,187.38,113.1
MOLC,API,Australia,2018,161.53,61.8
MOLLC1,Syrup,EU,2017,41.45,97.47
MOLO1,Inhaler,Global,2015,73.96,26.43
MOL1,Inhaler,US,2024,90.45,40.49
MOLRA1,Inhaler,India,2020,176.02,146.26
MOLHF3,API,China,2019,39.65,19.38
MOLH3,Suspension,Japan,2024,165.6,146.94
MOLC,API,Japan,2016,157.64,73.84
MOLBC2,API,Australia,2021,154.36,150.13
MOLCKD1,Tablet,India,2021,131.57,156.31
MOLCKD1,Tablet,Japan,2024,159.12,26.85
MOLCKD1,Patch,EU,2021,100.2,67.64
MOLIBD3,Injection,Global,2019,108.21,99.43
MOLM1,Suspension,Japan,2016,80.89,161.09
MOLO3,Patch,Japan,2019,113.68,68.52
MOLD2,Ointment,Canada,2020,107.36,92.81
MOLHF2,Syrup,Japan,2021,111.31,1.72
MOLRA3,Injection,Canada,2019,78.21,84.54
MOLH3,Syrup,India,2017,153.71,100.9
MOLD2,Suspension,Global,2022,140.84,134.8
MOLH3,API,Brazil,2020,113.46,183.38
MOLCKD1,Injection,China,2019,176.99,63.47
MOLH1,Patch,Canada,2015,178.0,116.21
MOLCKD2,Suspension,Brazil,2024,155.15,2.39
MOLO3,Syrup,Australia,2017,76.43,107.75
MOLM2,Patch,Brazil,2015,25.45,118.65
MOLH1,Ointment,EU,2019,57.96,153.18
MOLCKD1,Capsule,US,2022,17.08,190.57
MOLP1,Tablet,India,2020,67.42,42.8
MOLY,Tablet,Canada,2016,162.95,99.18
MOLDEP3,Injection,Australia,2024,191.18,104.84
MOLD3,Capsule,US,2024,32.63,150.51
MOLO3,Patch,Brazil,2018,196.56,61.64
MOLLC2,Inhaler,US,2022,192.57,21.03
MOLIBD3,Tablet,China,2022,107.81,21.92
MOLDEP2,Tablet,Global,2021,101.48,197.26
MOLP3,Tablet,EU,2019,182.45,6.06
MOLDEP3,Suspension,Japan,2018,84.93,14.82
MOLHF2,Syrup,Global,2018,191.77,162.17
MOLIBD2,Syrup,China,2020,38.8,136.16
MOLCKD1,Patch,China,2018,62.53,77.23
MOLD2,Patch,EU,2023,187.64,1.51
MOLC,Ointment,India,2018,88.54,91.82
MOLCKD1,Inhaler,Japan,2021,177.23,60.14
MOLO1,Capsule,Australia,2018,15.5,183.74
MOLCKD1,Patch,Japan,2018,127.87,101.22
MOLBC3,Tablet,Canada,2017,108.61,191.11
MOLIBD2,Injection,Canada,2020,174.09,137.14
MOLP3,Ointment,US,2019,41.45,55.72
MOLP2,API,EU,2023,51.75,46.46
MOLX,API,Canada,2017,16.23,29.58
MOLIBD2,Patch,India,2020,74.85,197.45
MOLM2,Patch,Australia,2019,193.78,30.99
MOLBC2,Capsule,Australia,2015,94.54,111.86
MOLP1,Syrup,Australia,2015,178.26,33.95
MOLDEP3,Patch,EU,2023,93.81,92.71
MOLBC1,Ointment,Global,2020,27.07,168.22
MOLO2,Patch,EU,2023,106.58,143.53
MOLP1,Ointment,Brazil,2022,61.67,141.02
MOLO3,Injection,Brazil,2015,55.34,154.57
MOLDEP1,Injection,Canada,2015,35.79,108.14
MOL2,Capsule,EU,2017,99.4,76.89
MOLP2,Suspension,Brazil,2017,155.47,175.83
MOLM1,Syrup,US,2022,97.95,110.08
MOLHF3,API,US,2015,157.01,94.85
MOLD1,Patch,Canada,2023,195.3,12.54
MOLLC3,Inhaler,Canada,2015,38.06,163.16
MOL2,Tablet,Canada,2020,199.87,163.63
MOLP2,Tablet,China,2018,199.16,60.01
MOLHF3,Patch,Brazil,2016,130.27,14.69
MOLM2,API,US,2019,41.98,190.52
MOLD2,Injection,Japan,2015,155.81,98.04
MOLH1,Tablet,Canada,2018,88.26,93.23
MOLDEP3,Capsule,US,2020,21.69,60.38
MOLR3,Ointment,China,2019,162.81,194.14
MOLLC2,Syrup,EU,2024,105.33,63.36
MOLH1,Injection,EU,2015,164.51,69.6
MOLO2,Inhaler,Global,2016,123.82,110.48
MOLLC2,Inhaler,Canada,2018,151.68,48.16
MOLBC3,Inhaler,Global,2017,50.14,24.82
MOLO1,Injection,Brazil,2024,198.71,89.47
MOLLC1,Suspension,US,2017,123.74,40.0
MOLBC2,Capsule,Japan,2024,87.39,31.11
MOLLC1,Syrup,Australia,2023,119.04,148.84
MOLH1,Ointment,Canada,2019,115.53,41.13
MOLD2,Syrup,EU,2016,170.62,116.51
MOLH3,Suspension,EU,2020,21.04,81.11
MOLH2,Capsule,US,2020,129.2,140.39
MOLHF3,Syrup,US,2018,143.55,90.11
MOLLC3,Capsule,Global,2015,68.47,107.17
MOLDEP2,Injection,Canada,2017,17.81,133.64
MOLO1,Suspension,Australia,2020,84.81,120.81
MOL2,Suspension,EU,2017,12.66,17.59
MOLD2,Tablet,US,2022,197.97,172.71
MOLR3,Tablet,China,2021,106.83,158.07
MOLCKD3,Inhaler,EU,2022,160.85,189.3
MOLP1,Inhaler,Brazil,2015,185.78,85.99
MOL1,Ointment,Global,2020,53.63,78.37
MOLHF1,API,US,2018,77.67,189.22
MOLRA3,Patch,Global,2015,27.57,101.11
MOLA,Syrup,Canada,2024,143.39,132.07
MOLR3,Patch,EU,2023,123.96,56.01
MOLIBD1,Ointment,Australia,2018,8.27,59.95
MOLIBD1,Tablet,Canada,2022,64.09,14.85
MOLM2,Syrup,Canada,2023,92.22,58.26
MOLO1,Capsule,China,2016,196.3,175.82
MOLH1,API,US,2021,114.88,107.83
MOLH1,Patch,India,2022,137.26,170.5
MOLLC3,Patch,US,2022,38.55,63.1
MOLLC2,Inhaler,EU,2020,170.85,43.11
MOLH1,Injection,Canada,2018,52.36,1.63
MOLH3,Suspension,Canada,2018,16.61,174.57
MOLRA2,API,EU,2023,167.28,183.72
MOLH3,Capsule,Australia,2019,79.9,27.36
MOLO3,API,EU,2020,100.5,162.78
MOLCKD2,Capsule,Canada,2022,90.69,132.92
MOLCKD1,Patch,China,2024,99.35,161.62
MOLD1,Patch,China,2022,12.92,186.96
MOLLC2,Suspension,US,2022,47.82,181.48
MOLDEP1,Capsule,Global,2024,176.22,91.95
MOLP3,Suspension,US,2018,7.69,99.82
MOLH1,API,Japan,2019,23.04,109.77
MOLD2,Capsule,Brazil,2022,60.17,89.67
MOLP1,Tablet,US,2022,6.09,45.79
MOLO2,Patch,Australia,2015,141.38,186.46
MOLIBD1,Capsule,EU,2019,179.67,82.64
MOLA,Suspension,Brazil,2019,175.16,148.99
MOLM1,Patch,Canada,2017,69.67,178.3
MOLP3,Inhaler,Japan,2019,61.7,56.38
MOLA,Tablet,Australia,2023,90.2,119.19
MOLCKD2,Suspension,Brazil,2022,191.61,49.26
MOLLC2,API,China,2017,115.45,194.8
MOLR2,Injection,Brazil,2021,34.26,188.34
MOLIBD1,Ointment,Brazil,2017,161.08,25.12
MOLDEP2,Injection,Global,2021,4.81,100.75
MOLRA3,Patch,China,2021,108.91,80.08
MOLDEP3,Syrup,India,2021,151.78,103.47
MOLH3,Patch,Canada,2023,53.08,150.67
MOLR2,Patch,Brazil,2020,124.69,128.38
MOLP3,Patch,EU,2024,5.28,172.1
MOLM1,Inhaler,Brazil,2015,180.58,161.46
MOLO1,Inhaler,EU,2021,146.96,34.06
MOLD2,Patch,US,2015,129.46,93.36
MOLIBD3,Tablet,Australia,2022,18.17,149.08
MOLD1,Inhaler,China,2016,99.87,140.05
MOLLC2,Injection,Global,2022,100.87,34.61
MOLO1,Syrup,India,2017,78.54,76.95
MOLO2,Injection,Australia,2018,126.29,46.78
MOLIBD2,Inhaler,Japan,2017,7.0,83.98
MOLM2,Patch,Japan,2016,153.73,9.43
MOLP1,Suspension,Global,2024,19.15,162.4
MOLO2,Injection,India,2022,53.61,159.53
MOLLC1,Injection,Canada,2018,1.43,84.66
MOLX,Syrup,Canada,2021,109.62,160.94
MOLBC1,Tablet,Global,2023,92.52,13.6
MOLIBD2,Syrup,Brazil,2021,156.75,126.73
MOLCKD2,Tablet,Japan,2015,77.05,96.84
MOLRA1,Tablet,US,2018,61.81,31.74
MOLBC2,Suspension,US,2016,161.68,33.19
MOLHF1,Tablet,Australia,2024,159.14,142.54
MOLR2,Inhaler,Australia,2024,122.34,106.1
MOLIBD3,Capsule,China,2023,75.31,138.44
MOLP1,Injection,EU,2018,18.04,154.79
MOLDEP1,Tablet,Canada,2022,166.16,162.7
MOLDEP3,Tablet,US,2015,75.3,42.38
MOLRA3,Ointment,China,2023,70.18,71.86
MOLP2,API,India,2018,120.48,89.25
MOLA,Suspension,India,2015,34.15,46.72
MOLC,Capsule,Brazil,2022,193.3,31.87
MOLCKD1,Syrup,US,2017,45.46,105.68
MOLIBD3,API,Global,2022,12.43,186.34
MOLHF1,Suspension,Brazil,2023,42.31,117.36
MOLX,Ointment,China,2020,121.49,27.41
MOLO3,Syrup,EU,2020,57.62,140.02
MOLLC3,Capsule,Japan,2021,88.96,26.73
MOLHF1,Patch,Global,2015,4.57,137.56
MOLDEP3,Tablet,India,2021,155.09,35.58
MOLCKD3,Suspension,Japan,2018,33.18,82.0
MOLD2,Syrup,Australia,2020,22.45,133.82
MOLM1,Tablet,EU,2018,37.64,156.11
MOLCKD1,Inhaler,EU,2020,20.59,27.34
MOL1,Capsule,India,2015,108.66,72.31
MOLP1,Injection,Global,2020,66.6,178.65
MOLH1,Patch,Japan,2018,129.49,62.52
MOLO3,Injection,Global,2016,24.73,42.89
MOLLC3,Suspension,India,2019,149.01,64.18
MOLD1,Ointment,Japan,2023,124.75,87.62
MOL2,Patch,Australia,2024,124.21,60.74
MOLRA1,Patch,Global,2020,6.71,42.67
MOLM1,Tablet,US,2020,118.9,1.52
MOLCKD3,Injection,China,2016,24.64,45.35
MOLIBD1,Inhaler,India,2019,33.98,127.45
MOLX,Tablet,India,2015,159.88,97.59
MOLDEP2,Ointment,Japan,2017,35.01,3.05
MOLIBD3,Suspension,Japan,2020,183.14,41.67
MOLD3,Capsule,Australia,2017,175.76,4.44
MOLBC1,Ointment,Brazil,2024,181.72,107.1
MOLP2,Ointment,US,2022,71.06,183.7
MOLLC1,Capsule,US,2022,3.01,170.7
MOL2,Tablet,EU,2021,101.39,69.68
MOLO2,Tablet,Global,2015,105.94,60.97
MOLDEP1,Tablet,Brazil,2019,178.3,166.14
MOLD1,Patch,Japan,2024,22.17,183.93
MOLP3,Tablet,Japan,2015,146.47,173.74
MOLCKD2,Capsule,US,2015,110.13,181.6
MOLD1,Injection,Canada,2020,81.8,104.41
MOLIBD3,Patch,China,2020,111.9,20.37
MOLD1,Tablet,China,2015,123.06,82.61
MOLDEP1,Syrup,India,2021,150.64,120.35
MOLDEP1,Tablet,US,2019,190.59,33.9
MOLBC2,Tablet,EU,2020,58.07,190.1
MOLIBD2,Syrup,India,2015,150.89,76.84
MOLCKD2,Injection,India,2017,54.54,39.14
MOLBC2,Suspension,India,2023,123.78,14.07
MOLH2,Inhaler,Brazil,2018,47.86,114.18
MOLBC2,Tablet,China,2018,21.74,92.32
MOLO3,Injection,Australia,2018,159.08,37.59
MOLR1,Injection,US,2024,90.21,13.53
MOLM2,Syrup,China,2022,107.79,103.23
MOLLC1,Ointment,EU,2020,72.76,141.83
MOLO2,Suspension,EU,2017,40.26,138.69
MOLCKD1,Suspension,China,2018,98.12,142.78
MOLRA2,Tablet,Australia,2017,15.66,91.7
MOLHF3,API,China,2016,199.56,55.81
MOLR1,Tablet,China,2017,197.74,39.6
MOLM3,Capsule,EU,2018,67.07,98.11
MOLH1,Tablet,Canada,2020,134.02,143.31
MOLD2,Capsule,India,2017,183.97,70.5
MOLRA2,Inhaler,EU,2021,184.97,70.49
MOLIBD3,Inhaler,India,2018,31.25,159.93
MOLM1,Patch,EU,2016,151.36,166.45
MOLO3,API,EU,2019,53.13,106.62
MOLD3,Tablet,India,2016,156.74,145.43
MOLR3,Capsule,Global,2015,124.27,144.1
MOLCKD2,Syrup,Japan,2018,50.99,74.02
MOLR2,Capsule,US,2024,141.52,107.94
MOLDEP3,Capsule,Japan,2022,77.72,52.07
MOLP1,API,EU,2018,124.77,26.29
MOLCKD3,Capsule,Australia,2021,193.36,150.57
MOLDEP2,Inhaler,India,2024,64.49,155.43
MOLRA1,Patch,India,2023,26.92,145.08
MOLC,Injection,US,2024,3.94,129.47
MOLD1,Ointment,Australia,2022,134.02,179.54
MOLM2,Suspension,Canada,2015,60.68,163.17
MOLHF2,Capsule,Global,2018,12.1,149.19
MOLHF3,Ointment,Japan,2021,150.34,138.84
MOLBC2,Capsule,EU,2015,37.59,185.8
MOLLC2,Syrup,Australia,2018,109.74,3.17
MOLIBD3,API,Canada,2017,81.23,114.1
MOLRA3,Capsule,Japan,2015,199.49,7.61
MOLBC1,Injection,India,2024,82.8,192.56
MOLM1,Syrup,India,2018,168.48,45.73
MOLC,Syrup,Canada,2022,154.61,64.9
MOLLC3,Injection,Global,2019,12.65,108.5
MOLM2,Suspension,India,2022,160.66,40.3
MOLP1,Patch,China,2023,71.82,142.62
MOLD3,Capsule,Australia,2017,119.39,105.49
MOLO2,Ointment,Japan,2020,134.48,15.54
MOLM2,Ointment,Japan,2017,195.95,188.02
MOLP3,Patch,India,2017,119.04,132.04
MOLP2,Ointment,Japan,2020,1.7,50.88
MOLRA3,Patch,China,2023,6.64,60.37
MOLBC2,Ointment,Australia,2016,75.6,116.31
MOLCKD2,Patch,Australia,2018,185.21,195.08
MOLP3,Patch,Canada,2022,19.99,125.86
MOLO2,Syrup,China,2020,86.36,179.28
MOLR3,Inhaler,US,2015,199.9,146.95
MOLHF3,Capsule,Japan,2019,122.93,131.45
MOLCKD1,Tablet,Brazil,2020,110.95,55.42
MOLH1,Suspension,Brazil,2020,169.82,198.19
MOLP1,Injection,Japan,2019,97.15,98.57
MOLLC2,Tablet,China,2016,182.63,28.85
MOLD1,Ointment,India,2020,77.05,69.48
MOLDEP2,Patch,Australia,2015,186.18,85.15
MOLD2,Inhaler,EU,2016,15.89,130.64
MOLLC3,Inhaler,EU,2024,93.17,135.16
MOLIBD1,Injection,US,2016,70.49,6.77
MOLD1,Capsule,Global,2020,1.25,135.81
MOLLC1,Injection,EU,2015,156.84,30.07
MOLO2,Suspension,China,2022,180.56,123.85
MOLP3,Capsule,EU,2017,44.52,121.85
MOLBC2,Capsule,Brazil,2023,47.6,61.08
MOLP2,Capsule,Australia,2020,139.76,67.4
MOLLC1,API,Australia,2016,22.3,183.93
MOLP1,Inhaler,Canada,2019,146.03,164.51
MOLO1,Tablet,US,2023,62.61,151.25
MOLLC2,API,US,2022,70.17,41.94
MOLRA2,Syrup,China,2020,55.69,68.19
MOLIBD2,Injection,Japan,2021,15.63,158.53
MOLR3,API,Brazil,2022,85.27,95.68
MOLDEP1,API,EU,2016,8.03,58.43
MOLO2,Ointment,Global,2019,72.87,172.45
MOLP3,API,US,2015,59.94,147.52
MOLIBD2,Ointment,EU,2015,158.12,84.08
MOLDEP3,Inhaler,Japan,2018,87.5,192.25
MOLC,Patch,Japan,2017,108.35,74.41
MOLA,Injection,Global,2015,186.29,69.14
MOLDEP3,Suspension,China,2015,27.04,149.62
MOLC,Capsule,Brazil,2015,143.96,77.54
MOLO2,API,EU,2018,168.05,153.21
MOLHF1,Tablet,US,2016,13.47,144.71
MOLR2,Inhaler,Brazil,2022,173.1,135.08
MOLM3,Suspension,Canada,2015,8.51,7.83
MOLM3,Tablet,Brazil,2020,46.38,22.82
MOLP2,Inhaler,India,2020,41.59,74.42
MOLCKD1,Ointment,Australia,2024,79.1,130.48
MOLCKD2,Suspension,China,2015,111.57,126.7
MOLIBD3,Suspension,India,2024,106.2,177.56
MOLP2,API,Brazil,2019,174.6,117.83
MOLLC1,Capsule,India,2022,148.07,12.48
MOLR2,Capsule,Japan,2023,71.45,21.06
MOLCKD3,Tablet,Australia,2018,66.29,10.76
MOLCKD2,Suspension,Global,2020,137.01,25.89
MOLX,Capsule,Brazil,2019,131.12,119.83
MOLC,Capsule,China,2023,121.84,196.74
MOLC,Syrup,Brazil,2024,119.04,146.59
MOLR1,API,China,2015,81.73,189.64
MOLLC3,Ointment,Canada,2015,2.77,155.18
MOLH1,Suspension,Brazil,2018,186.15,18.88
MOLDEP1,Tablet,Japan,2022,74.36,72.5
MOLRA2,Syrup,Canada,2021,170.32,163.59
MOLRA3,Capsule,Australia,2015,60.98,140.61
MOLDEP3,Suspension,US,2016,43.38,88.97
MOLLC3,Patch,US,2015,166.9,46.36
MOLP1,API,EU,2019,77.26,153.09
MOLP2,Injection,EU,2021,34.81,111.73
MOLM1,Ointment,Japan,2019,93.84,119.51
MOLRA1,API,India,2017,93.64,197.97
MOLRA2,Capsule,Canada,2019,125.04,29.02
MOLBC2,Ointment,US,2024,94.89,146.83
MOLH2,Inhaler,Japan,2018,133.94,82.55
MOLA,Capsule,India,2015,46.71,170.52
MOL1,Injection,India,2023,130.54,192.05
MOLR3,Injection,Australia,2020,78.05,49.99
MOLIBD2,Injection,Brazil,2022,38.9,38.71
MOLDEP3,Suspension,Japan,2019,90.34,18.12
MOLX,Ointment,Global,2016,37.87,35.15
MOLCKD3,Suspension,EU,2024,193.14,190.16
MOLD1,Tablet,EU,2022,121.7,147.68
MOLCKD2,Ointment,Global,2017,192.89,5.83
MOLH2,Tablet,EU,2021,163.74,6.8
MOLIBD1,API,Japan,2023,59.06,51.67
MOLBC2,Capsule,India,2015,119.51,41.91
MOLRA2,API,Japan,2016,154.48,139.22
MOLP1,Patch,India,2015,23.47,178.69
MOLH2,API,India,2024,41.91,55.04
MOLM2,API,China,2023,57.08,146.43
MOLDEP3,Ointment,India,2019,158.09,88.39
MOLR3,Ointment,EU,2020,80.72,176.46
MOLD3,Capsule,EU,2021,152.79,154.8
MOLRA3,Tablet,US,2022,128.24,10.48
MOLBC2,Injection,US,2018,80.62,5.61
MOLH1,API,China,2016,143.7,66.2
MOLIBD1,API,Canada,2020,27.96,66.62
MOLHF1,Capsule,Brazil,2015,188.91,150.48
MOLA,Injection,EU,2020,77.38,35.74
MOLCKD3,Patch,Australia,2021,71.81,110.47
MOLLC3,API,EU,2018,39.22,182.0
MOLHF2,Inhaler,US,2017,99.53,59.73
MOLCKD2,Suspension,EU,2024,43.21,177.12
MOLP1,Suspension,US,2015,189.78,96.28
MOLD3,Syrup,US,2023,176.67,18.76
MOLCKD3,Ointment,Canada,2020,189.44,116.43
MOLR3,API,Japan,2023,98.63,164.27
MOLIBD3,Syrup,Brazil,2016,100.52,148.79
MOLH2,Syrup,Japan,2018,172.97,141.71
MOLP3,Inhaler,Brazil,2019,166.67,28.23
MOLIBD2,Inhaler,EU,2023,151.48,103.48
MOL1,Ointment,US,2024,90.57,47.54
MOLCKD3,Patch,Australia,2023,160.96,41.01
MOLY,Patch,Brazil,2016,34.74,146.15
MOLIBD1,API,Brazil,2017,186.74,98.35
MOLRA3,Syrup,India,2020,164.88,96.37
MOLRA3,Injection,China,2021,123.12,116.11
MOLCKD1,Patch,EU,2016,25.41,27.46
MOLBC1,Capsule,China,2021,147.43,173.28
MOLHF1,Syrup,China,2022,76.07,81.29
MOLH3,Capsule,EU,2019,170.42,115.2
MOL1,Tablet,US,2021,144.14,129.76
MOLDEP3,Suspension,Brazil,2019,109.5,9.48
MOLR1,Capsule,Global,2016,98.05,3.51
MOLP1,Ointment,Global,2017,59.08,187.1
MOLP1,Tablet,Japan,2020,53.09,72.17
MOL2,Syrup,Canada,2016,134.97,162.78
MOLRA1,Suspension,Australia,2020,176.32,178.74
MOLDEP3,Injection,Global,2023,181.61,122.11
MOLM1,Suspension,India,2021,90.88,29.7
MOLCKD2,Inhaler,Australia,2021,180.11,124.56
MOLO2,Injection,US,2023,159.05,12.4
MOLO1,API,Japan,2018,179.95,50.49
MOLA,Patch,India,2017,62.35,161.47
MOLDEP3,Inhaler,US,2021,198.69,61.76
MOLH3,Syrup,US,2016,78.85,43.26
MOLDEP3,Syrup,India,2020,64.47,160.09
MOLLC1,Ointment,EU,2016,96.95,199.41
MOLRA3,Inhaler,Global,2015,61.2,133.47
MOLR1,Ointment,Global,2021,41.03,75.7
MOLCKD2,Capsule,Global,2015,7.74,196.38
MOLLC1,Inhaler,Japan,2023,128.95,16.99
MOLLC2,Tablet,Japan,2015,198.17,180.06
MOLO3,Ointment,EU,2019,88.56,182.56
MOLM1,Syrup,Japan,2015,58.98,191.92
MOLRA3,Tablet,Brazil,2021,35.62,53.04
MOLR2,Tablet,Canada,2021,49.06,40.93
MOLD3,Patch,Australia,2016,192.45,42.73
MOLP3,Capsule,Canada,2024,46.33,154.81
MOL2,Tablet,US,2016,135.17,111.65
MOLRA3,Inhaler,India,2023,127.79,140.86
MOLO1,Capsule,Global,2023,22.66,86.57
MOLRA3,Capsule,Australia,2017,53.86,112.4
MOLHF2,Ointment,China,2021,43.97,128.99
MOLP1,Injection,EU,2019,79.15,40.7
MOLHF1,Tablet,Brazil,2021,64.64,102.47
MOLHF3,Tablet,Australia,2018,62.49,80.48
MOLP1,Inhaler,Australia,2017,122.66,178.61
MOLY,Suspension,Japan,2023,145.35,133.16
MOLP3,Injection,Canada,2018,18.72,12.22
MOLR3,Syrup,Brazil,2020,114.24,109.86
MOLR3,Patch,Global,2015,56.8,12.88
MOLX,Inhaler,EU,2015,26.03,144.17
MOLDEP2,Injection,India,2018,138.43,55.49
MOLRA2,Syrup,Australia,2019,74.79,3.55
MOLH2,Patch,Brazil,2024,183.2,166.81
MOLD2,Ointment,Canada,2016,39.89,161.75
MOLY,Ointment,Japan,2016,171.92,177.3
MOLM1,Syrup,Australia,2021,120.19,190.52
MOLR2,API,India,2024,112.18,7.52
MOLLC1,Ointment,Brazil,2020,191.7,172.04
MOLHF2,Inhaler,China,2021,142.79,66.41
MOLH1,Tablet,EU,2018,5.19,148.6
MOLM1,Ointment,EU,2018,57.3,50.91
MOLLC2,Ointment,China,2024,141.39,80.3
MOLHF1,Suspension,India,2017,198.99,105.28
MOLC,API,EU,2020,188.32,22.43
MOLC,Syrup,Japan,2021,59.27,128.64
MOLO1,Injection,China,2022,64.13,191.74
MOLM3,Capsule,China,2018,73.98,34.45
MOLM3,Ointment,Global,2024,84.22,188.19
MOLLC3,Injection,Australia,2016,106.59,126.01
